Organ zgłaszający;Usługa pobierania ▴
Starosta Wąbrzeski;https://wabrzezno.geoportal2.pl/map/geoportal/wfs.php
Starosta Tucholski;https://tucholski-wms.webewid.pl/iip/ows
Starosta Powiatu Trzebnickiego;https://trzebnicki-wms.webewid.pl/iip/ows
Starosta Toruński;https://torunski-wms.webewid.pl/iip/ows
Starosta Tomaszowski;https://tomaszowlubelski.geoportal2.pl/map/geoportal/wfs.php
Starosta Tatrzański;https://tatrzanski-wms.webewid.pl/iip/ows
Starosta Powiatu Tarnobrzeskiego;https://tarnobrzeski.geoportal2.pl/map/geoportal/wfs.php
Prezydent Miasta Tarnobrzega;https://tarnobrzeg.geoportal2.pl/map/geoportal/wfse.php
Starosta Szydłowiecki;https://szydlowiecpowiat.geoportal2.pl/map/geoportal/wfs.php
Starosta Szczecinecki;https://szczecinecki-wms.webewid.pl/iip/ows
Prezydent Miasta Świętochłowice;https://swietochlowice.geoportal2.pl/map/geoportal/wfs.php
Starosta Świdwiński;https://swidwinski-wms.webewid.pl/iip/ows
Starosta Świdnicki;https://swidnicki-wms.webewid.pl/iip/ows
Starosta Sulęciński;https://sulecin.geoportal2.pl/map/geoportal/wfs.php
Starosta Strzyżowski;https://strzyzowski.geoportal2.pl/map/geoportal/wfs.php
Starosta Strzeliński;https://strzelinski-wms.webewid.pl/iip/ows
Starosta Staszowski;https://staszow.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Starachowickiego;https://starachowice.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Stalowowolskiego;https://stalowawola.geoportal2.pl/map/geoportal/wfs.php
Starosta Ropczycko-Sędziszowski;https://spropczyce.geoportal2.pl/map/geoportal/wfs.php
Starosta Sochaczewski;https://sochaczew.geoportal2.pl/map/geoportal/wfs.php
Starosta Słubicki;https://slubice.geoportal2.pl/map/geoportal/wfs.php
Starosta Sławieński;https://slawienski.webewid.pl:4443/iip/ows
Prezydent Miasta Skierniewice;https://skierniewice.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Przeworskiego;https://sip.powiatprzeworsk.pl:4443/iip/ows
Starosta Sierpecki;https://sierpc.geoportal2.pl/map/geoportal/wfse.php
Starosta Sieradzki;https://sieradz.geoportal2.pl/map/geoportal/wfs.php
Prezydent Miasta Siemianowice Śląskie;https://siemianowice.geoportal2.pl/map/geoportal/wfs.php
Prezydent Miasta Siedlce;https://siedlce.geoportal2.pl/map/geoportal/wfse.php
Starosta Powiatu Sępoleńskiego;https://sepolenski-wms.webewid.pl/iip/ows
Starosta Powiatu Sejneńskiego;https://sejny.geoportal2.pl/map/geoportal/wfs.php
Starosta Bieruńsko-Lędziński;https://sbl.webewid.pl:8443/iip/ows
Starosta Powiatu Sanockiego;https://sanocki.webewid.pl:8443/iip/ows
Starosta Sandomierski;https://sandomierz.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Ryckiego;https://ryki.geoportal2.pl/map/geoportal/wfs.php
Starosta Rybnicki;https://rybnik.geoportal2.pl/map/geoportal/wfs.php
Prezydent Miasta Ruda Śląska;https://rudaslaska.geoportal2.pl/map/geoportal/wfse.php
Starosta Radziejowski;https://radziejow.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Radomszczańskiego;https://radomszczanski.geoportal2.pl/map/geoportal/wfse.php
Starosta Radomski;https://radom.geoportal2.pl/map/geoportal/wfse.php
Starosta Powiatu Raciborskiego;https://raciborz.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Puławskiego;https://pulawy.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Pszczyńskiego;https://pszczynski-wms.webewid.pl/iip/ows
Prezydent Miasta Przemyśla;https://przemysl.geoportal2.pl/map/geoportal/wfs.php
Starosta Przasnyski;https://przasnysz.geoportal2.pl/map/geoportal/wfse.php
Starosta Zamojski;https://powiatzamojski.geoportal2.pl/map/geoportal/wfse.php
Starosta Powiatu Zambrowskiego;https://powiatzambrowski.geoportal2.pl/map/geoportal/wfs.php
Starosta Świdnicki;https://powiatswidnik.geoportal2.pl/map/geoportal/wfs.php
