Organ zgłaszający;Usługa pobierania ▴
Starosta Powiatu Garwolińskiego;https://garwolinski.geoportal2.pl:8443/map/geoportal/wfs.php
Starosta Strzelecko-Drezdenecki;https://fsd.geoportal2.pl/map/geoportal/wfse.php
Starosta Oławski;https://ewid.starostwo.olawa.pl:4444/iip/ows
Prezydent Miasta Gdańska;https://ewid-wms.gdansk.gda.pl/iip/ows
Prezydent Miasta Katowice;https://emapa.katowice.eu/arcgis/services/wms_egib_gugik/MapServer/WFSServer
Prezydent Miasta Bydgoszczy;https://e-uslugi.mpg.bydgoszcz.pl/ggp
Prezydent Miasta Chorzów;https://e-odgik.chorzow.eu/arcgis/services/wfs/chorzow_egib_publ/MapServer/WFSServer
Starosta Drawski;https://drawski-wms.webewid.pl/iip/ows
Starosta Powiatu Dębickiego;https://debica.geoportal2.pl/map/geoportal/wfs.php
Starosta Dąbrowski;https://dabrowski-wms.webewid.pl/iip/ows
Starosta Powiatu Częstochowskiego;https://czestochowa.geoportal2.pl/map/geoportal/wfse.php
Burmistrz Czechowic-Dziedzic;https://czechowice.geoportal2.pl/map/geoportal/wfs.php
Starosta Cieszyński;https://cieszyn.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Ciechanowskiego;https://ciechanow.geoportal2.pl/map/geoportal/wfs.php
Starosta Chrzanowski;https://chrzanowski.webewid.pl:22443/iip/ows
Starosta Powiatu Chojnickiego;https://chojnicki-wms.webewid.pl/iip/ows
Starosta Chełmski;https://chelmski-wms.webewid.pl/iip/ows
Starosta Powiatu Chełmińskiego;https://chelminski.webewid.pl:44316/iip/ows
Starosta Bytowski;https://bytowski.webewid.pl:4433/iip/ows
Starosta Powiatu Brzozowskiego;https://brzozowski.webewid.pl:4443/iip/ows
Starosta Powiatu Brzeskiego;https://brzesko.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Bocheńskiego;https://bochenski-wms.webewid.pl/iip/ows
Starosta Biłgorajski;https://bilgorajski.geoportal2.pl/map/geoportal/wfs.php
Starosta Bieszczadzki;https://bieszczadzki-wms.webewid.pl:4434/iip/ows
Starosta Bielski;https://bielski-ows.webewid.pl/iip/ows
Starosta Powiatu Białostockiego;https://bialystok.geoportal2.pl/map/geoportal/wfs.php
Starosta Białogardzki;https://bialogardzki-wms.webewid.pl/iip/ows
Starosta Białobrzeski;https://bialobrzegi.geoportal2.pl/map/geoportal/wfs.php
Starosta Augustowski;https://augustowski.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Wysokomazowieckiego;http://wysokomazowiecki.geoportal2.pl/map/geoportal/wfse.php
Starosta Wschowski;http://wschowa.geoportal2.pl/map/geoportal/wfse.php
Starosta Lubliniecki;http://wms.lubliniec.starostwo.gov.pl/lubliniec-egib
Starosta Powiatu Szczycieńskiego;http://szczytno.geoportal2.pl/map/geoportal/wfs.php
Starosta Grajewski;http://starostwograjewo.geoportal2.pl/map/geoportal/wfs.php
Starosta Skarżyski;http://skarzysko.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Rypińskiego;http://rypin.geoportal2.pl/map/geoportal/wfse.php
Starosta Przysuski;http://przysucha.geoportal2.pl/map/geoportal/wfs.php
Starosta Ostrołęcki;http://powiatostrolecki.geoportal2.pl/map/geoportal/wfse.php
Starosta Bielski w Bielsku Podlaskim;http://powiatbielski.geoportal2.pl/map/geoportal/wfse.php
Starosta Powiatu Wyszkowskiego;http://powiat-wyszkowski.geoportal2.pl/map/geoportal/wfse.php
Starosta Powiatu Legionowskiego;http://powiat-legionowski.geoportal2.pl/map/geoportal/wfs.php
Starosta Poddębicki;http://poddebice.geoportal2.pl/map/geoportal/wfs.php
Starosta Parczewski;http://parczew.geoportal2.pl/map/geoportal/wfs.php
Starosta Opatowski;http://opatow.geoportal2.pl/map/geoportal/wfse.php
Starosta Olecki;http://olecko.geoportal2.pl/map/geoportal/wfse.php
Starosta Powiatu Nowodworskiego;http://nowodworski.geoportal2.pl/map/geoportal/wfse.php
Starosta Łowicki;http://lowicz.geoportal2.pl/map/geoportal/wfse.php
Starosta Hajnowski;http://hajnowka.geoportal2.pl/map/geoportal/wfse.php
Starosta Powiatu Brzezińskiego;http://brzeziny.geoportal2.pl/map/geoportal/wfs.php
Prezydent Miasta Biała Podlaska;http://bialapodlaska.geoportal2.pl/map/geoportal/wfse.php
Starosta Powiatu Bełchatowskiego;http://belchatow.geoportal2.pl/map/geoportal/wfs.php
